Time,,Paid Activity,,,,Site Activity,,Time,Weekly Historical Search Interest,,
9/21/2014,2014-9,"330,000","6,000","20,500,000","87,000","24,500",,1/13/2013,75,25,63
9/22/2014,2014-9,"380,000","8,000","25,400,000","87,000","28,900",,1/20/2013,75,26,66
9/23/2014,2014-9,"360,000","8,000","24,200,000","84,000","30,500",,1/27/2013,78,25,66
9/24/2014,2014-9,"410,000","9,000","21,000,000","78,000","26,900",,2/3/2013,80,31,68
9/25/2014,2014-9,"400,000","8,000","19,800,000","75,000","28,000",,2/10/2013,75,29,62
9/26/2014,2014-9,"320,000","7,000","20,600,000","77,000","25,100",,2/17/2013,74,27,61
9/27/2014,2014-9,"260,000","5,000","21,700,000","86,000","23,200",,2/24/2013,76,34,67
9/28/2014,2014-9,"300,000","6,000","20,700,000","78,000","22,700",,3/3/2013,78,39,73
9/29/2014,2014-9,"380,000","8,000","26,000,000","87,000","50,200",,3/10/2013,71,31,67
9/30/2014,2014-9,"390,000","8,000","22,500,000","67,000","25,900",,3/17/2013,79,37,66
10/1/2014,2014-10,"350,000","7,000","6,100,000","8,000","17,000",,3/24/2013,69,30,60
10/2/2014,2014-10,"340,000","7,000","4,900,000","8,000","14,500",,3/31/2013,75,30,71
10/3/2014,2014-10,"300,000","6,000","4,900,000","8,000","12,000",,4/7/2013,77,30,68
10/4/2014,2014-10,"230,000","4,000","2,100,000","7,000","8,100",,4/14/2013,84,29,66
10/5/2014,2014-10,"260,000","5,000","2,300,000","7,000","8,500",,4/21/2013,82,34,67
10/6/2014,2014-10,"360,000","7,000","2,700,000","7,000","14,000",,4/28/2013,95,37,69
10/7/2014,2014-10,"370,000","7,000","3,200,000","10,000","15,500",,5/5/2013,84,30,63
10/8/2014,2014-10,"340,000","7,000","4,500,000","14,000","16,500",,5/12/2013,68,37,66
10/9/2014,2014-10,"340,000","7,000","4,700,000","13,000","16,400",,5/19/2013,64,31,64
10/10/2014,2014-10,"300,000","6,000","3,800,000","14,000","15,400",,5/26/2013,60,31,59
10/11/2014,2014-10,"240,000","4,000","4,300,000","19,000","11,700",,6/2/2013,62,23,58
10/12/2014,2014-10,"260,000","5,000","4,300,000","19,000","12,200",,6/9/2013,62,25,57
10/13/2014,2014-10,"410,000","10,000","5,100,000","19,000","18,700",,6/16/2013,59,26,56
10/14/2014,2014-10,"360,000","8,000","4,900,000","19,000","17,800",,6/23/2013,58,24,56
10/15/2014,2014-10,"350,000","7,000","4,900,000","14,000","16,300",,6/30/2013,55,20,50
10/16/2014,2014-10,"310,000","7,000","4,900,000","10,000","14,600",,7/7/2013,62,21,54
10/17/2014,2014-10,"280,000","5,000","3,700,000","10,000","12,600",,7/14/2013,62,20,53
10/18/2014,2014-10,"230,000","4,000","2,800,000","10,000","10,000",,7/21/2013,66,21,52
10/19/2014,2014-10,"270,000","4,000","3,200,000","10,000","9,600",,7/28/2013,64,26,53
10/20/2014,2014-10,"290,000","6,000","4,300,000","11,000","14,600",,8/4/2013,66,18,53
10/21/2014,2014-10,"320,000","6,000","4,700,000","10,000","15,100",,8/11/2013,61,23,56
10/22/2014,2014-10,"290,000","6,000","3,900,000","8,000","14,100",,8/18/2013,67,24,57
10/23/2014,2014-10,"280,000","5,000","6,700,000","14,000","14,100",,8/25/2013,66,23,58
10/24/2014,2014-10,"260,000","5,000","9,200,000","44,000","14,800",,9/1/2013,73,23,59
10/25/2014,2014-10,"220,000","4,000","11,100,000","75,000","17,600",,9/8/2013,77,25,67
10/26/2014,2014-10,"280,000","4,000","10,600,000","70,000","17,800",,9/15/2013,80,23,67
10/27/2014,2014-10,"290,000","5,000","158,900,000","190,000","30,000",,9/22/2013,79,28,70
10/28/2014,2014-10,"230,000","4,000","16,200,000","77,000","23,700",,9/29/2013,72,35,72
10/29/2014,2014-10,"230,000","4,000","17,200,000","79,000","23,900",,10/6/2013,81,32,68
10/30/2014,2014-10,"190,000","4,000","154,500,000","180,000","32,300",,10/13/2013,74,31,69
10/31/2014,2014-10,"160,000","3,000","15,000,000","58,000","19,700",,10/20/2013,78,33,69
11/1/2014,2014-11,"140,000","2,000","7,300,000","49,000","15,100",,10/27/2013,75,36,66
11/2/2014,2014-11,"150,000","3,000","9,200,000","59,000","17,400",,11/3/2013,75,35,68
11/3/2014,2014-11,"230,000","5,000","31,300,000","48,000","19,900",,11/10/2013,76,37,70
11/4/2014,2014-11,"270,000","6,000","32,400,000","52,000","19,900",,11/17/2013,80,36,71
11/5/2014,2014-11,"390,000","6,000","32,200,000","53,000","21,300",,11/24/2013,59,27,59
11/6/2014,2014-11,"360,000","5,000","34,300,000","61,000","20,700",,12/1/2013,79,36,64
11/7/2014,2014-11,"290,000","4,000","33,900,000","57,000","18,100",,12/8/2013,91,34,66
11/8/2014,2014-11,"220,000","3,000","9,700,000","50,000","16,500",,12/15/2013,78,22,60
11/9/2014,2014-11,"250,000","4,000","9,900,000","51,000","17,200",,12/22/2013,43,12,41
11/10/2014,2014-11,"330,000","5,000","10,800,000","51,000","21,900",,12/29/2013,55,24,50
11/11/2014,2014-11,"290,000","4,000","15,300,000","55,000","22,400",,1/5/2014,62,26,58
11/12/2014,2014-11,"250,000","5,000","14,300,000","44,000","20,000",,1/12/2014,73,32,64
11/13/2014,2014-11,"220,000","4,000","16,200,000","62,000","23,100",,1/19/2014,72,28,63
11/14/2014,2014-11,"190,000","4,000","101,200,000","150,000","85,300",,1/26/2014,69,26,67
11/15/2014,2014-11,"230,000","3,000","13,900,000","50,000","16,300",,2/2/2014,76,24,67
11/16/2014,2014-11,"290,000","3,000","13,900,000","50,000","16,600",,2/9/2014,68,36,65
11/17/2014,2014-11,"390,000","4,000","15,200,000","54,000","19,700",,2/16/2014,76,32,67
11/18/2014,2014-11,"250,000","4,000","14,800,000","53,000","21,300",,2/23/2014,84,37,80
11/19/2014,2014-11,"240,000","4,000","15,200,000","51,000","19,400",,3/2/2014,80,43,72
11/20/2014,2014-11,"220,000","4,000","25,800,000","120,000","52,900",,3/9/2014,79,33,71
11/21/2014,2014-11,"210,000","3,000","27,700,000","140,000","54,700",,3/16/2014,77,44,69
11/22/2014,2014-11,"180,000","3,000","30,000,000","180,000","67,600",,3/23/2014,80,42,68
11/23/2014,2014-11,"300,000","3,000","25,200,000","140,000","57,200",,3/30/2014,76,43,69
11/24/2014,2014-11,"460,000","4,000","24,500,000","120,000","52,900",,4/6/2014,80,38,73
11/25/2014,2014-11,"370,000","4,000","29,700,000","130,000","53,800",,4/13/2014,81,39,68
11/26/2014,2014-11,"220,000","3,000","28,700,000","140,000","55,700",,4/20/2014,83,34,75
11/27/2014,2014-11,"190,000","2,000","27,100,000","140,000","54,000",,4/27/2014,90,35,69
11/28/2014,2014-11,"170,000","3,000","23,700,000","110,000","46,300",,5/4/2014,89,38,64
11/29/2014,2014-11,"180,000","3,000","29,400,000","150,000","56,700",,5/11/2014,74,36,65
11/30/2014,2014-11,"270,000","3,000","23,000,000","100,000","49,000",,5/18/2014,65,35,62
12/1/2014,2014-12,"240,000","4,000","9,400,000","67,000","29,500",,5/25/2014,58,28,58
12/2/2014,2014-12,"170,000","4,000","8,000,000","67,000","27,500",,6/1/2014,67,29,58
12/3/2014,2014-12,"220,000","4,000","14,100,000","83,000","32,900",,6/8/2014,73,27,59
12/4/2014,2014-12,"220,000","4,000","19,100,000","100,000","39,200",,6/15/2014,60,27,57
12/5/2014,2014-12,"170,000","4,000","19,600,000","110,000","40,400",,6/22/2014,58,27,57
12/6/2014,2014-12,"160,000","3,000","19,300,000","120,000","41,700",,6/29/2014,51,22,52
12/7/2014,2014-12,"220,000","3,000","19,000,000","120,000","40,100",,7/6/2014,61,29,53
12/8/2014,2014-12,"240,000","4,000","13,100,000","76,000","40,400",,7/13/2014,62,28,55
12/9/2014,2014-12,"170,000","4,000","13,200,000","77,000","45,700",,7/20/2014,63,22,51
12/10/2014,2014-12,"170,000","4,000","55,600,000","130,000","77,800",,7/27/2014,65,25,53
12/11/2014,2014-12,"210,000","4,000","57,900,000","140,000","82,400",,8/3/2014,60,21,55
12/12/2014,2014-12,"130,000","3,000","26,900,000","110,000","61,700",,8/10/2014,67,25,57
12/13/2014,2014-12,"110,000","3,000","30,700,000","160,000","82,100",,8/17/2014,65,25,57
12/14/2014,2014-12,"140,000","3,000","31,100,000","160,000","85,800",,8/24/2014,73,24,60
12/15/2014,2014-12,"190,000","4,000","33,500,000","160,000","85,400",,8/31/2014,62,25,61
12/16/2014,2014-12,"230,000","4,000","30,800,000","150,000","79,000",,9/7/2014,67,25,65
12/17/2014,2014-12,"160,000","4,000","27,100,000","110,000","66,500",,9/14/2014,80,24,66
12/18/2014,2014-12,"200,000","4,000","47,000,000","160,000","92,900",,9/21/2014,77,27,66
12/19/2014,2014-12,"210,000","3,000","43,800,000","160,000","94,500",,9/28/2014,80,27,67
12/20/2014,2014-12,"150,000","2,000","34,700,000","160,000","91,800",,10/5/2014,77,31,66
12/21/2014,2014-12,"140,000","2,000","39,000,000","180,000","98,100",,10/12/2014,76,28,65
12/22/2014,2014-12,"190,000","3,000","26,400,000","120,000","71,200",,10/19/2014,78,32,73
12/23/2014,2014-12,"240,000","3,000","22,400,000","110,000","61,200",,10/26/2014,73,27,66
12/24/2014,2014-12,"260,000","2,000","53,500,000","120,000","69,800",,11/2/2014,78,33,69
12/25/2014,2014-12,"110,000","2,000","55,300,000","220,000","132,000",,11/9/2014,74,33,71
12/26/2014,2014-12,"180,000","2,000","28,200,000","140,000","78,700",,11/16/2014,78,30,70
12/27/2014,2014-12,"170,000","3,000","33,700,000","190,000","91,700",,11/23/2014,60,23,57
12/28/2014,2014-12,"190,000","3,000","58,100,000","270,000","144,000",,11/30/2014,85,33,65
12/29/2014,2014-12,"310,000","4,000","27,800,000","150,000","85,800",,12/7/2014,98,35,65
12/30/2014,2014-12,"210,000","4,000","29,400,000","160,000","85,300",,12/14/2014,77,28,57
12/31/2014,2014-12,"150,000","3,000","18,200,000","94,000","62,600",,12/21/2014,50,17,41
1/1/2015,2015-1,"70,000","2,000","12,800,000","81,000","59,000",,12/28/2014,54,23,44
1/2/2015,2015-1,"110,000","3,000","13,300,000","83,000","61,400",,1/4/2015,65,29,55
1/3/2015,2015-1,"150,000","3,000","11,200,000","80,000","57,900",,1/11/2015,71,25,59
1/4/2015,2015-1,"150,000","3,000","10,800,000","77,000","54,900",,1/18/2015,73,28,63
1/5/2015,2015-1,"130,000","4,000","14,200,000","89,000","60,400",,1/25/2015,72,30,66
1/6/2015,2015-1,"190,000","4,000","15,800,000","84,000","59,300",,2/1/2015,81,100,63
1/7/2015,2015-1,"180,000","4,000","17,000,000","90,000","63,700",,2/8/2015,76,74,63
1/8/2015,2015-1,"160,000","5,000","16,800,000","87,000","61,600",,2/15/2015,70,55,65
1/9/2015,2015-1,"150,000","4,000","11,400,000","50,000","47,200",,2/22/2015,77,83,65
1/10/2015,2015-1,"140,000","3,000","17,300,000","110,000","71,400",,3/1/2015,76,64,65
1/11/2015,2015-1,"150,000","3,000","14,800,000","71,000","55,000",,3/8/2015,74,91,67
1/12/2015,2015-1,"180,000","5,000","15,900,000","99,000","68,500",,3/15/2015,77,91,65
1/13/2015,2015-1,"170,000","6,000","11,100,000","69,000","51,300",,3/22/2015,82,98,64
1/14/2015,2015-1,"170,000","6,000","14,900,000","86,000","59,600",,3/29/2015,80,72,62
1/15/2015,2015-1,"160,000","6,000","16,400,000","100,000","62,200",,4/5/2015,80,64,63
1/16/2015,2015-1,"140,000","5,000","17,700,000","100,000","62,400",,4/12/2015,82,61,66
1/17/2015,2015-1,"110,000","4,000","14,200,000","96,000","58,300",,4/19/2015,83,64,66
1/18/2015,2015-1,"120,000","4,000","16,200,000","100,000","60,900",,4/26/2015,88,63,64
1/19/2015,2015-1,"160,000","5,000","14,200,000","100,000","59,100",,5/3/2015,82,55,62
1/20/2015,2015-1,"180,000","6,000","34,400,000","91,000","63,700",,5/10/2015,78,71,66
1/21/2015,2015-1,"230,000","6,000","41,100,000","87,000","63,600",,5/17/2015,70,56,62
1/22/2015,2015-1,"190,000","6,000","33,200,000","88,000","61,200",,5/24/2015,61,61,62
1/23/2015,2015-1,"160,000","6,000","28,500,000","92,000","61,600",,5/31/2015,65,61,60
1/24/2015,2015-1,"130,000","4,000","21,600,000","86,000","61,100",,6/7/2015,68,56,59
1/25/2015,2015-1,"140,000","4,000","16,900,000","79,000","53,800",,6/14/2015,65,51,57
1/26/2015,2015-1,"180,000","6,000","26,500,000","88,000","60,400",,6/21/2015,62,55,54
1/27/2015,2015-1,"170,000","7,000","28,700,000","90,000","62,300",,6/28/2015,63,52,51
1/28/2015,2015-1,"190,000","7,000","30,600,000","87,000","63,300",,7/5/2015,65,53,55
1/29/2015,2015-1,"180,000","7,000","28,600,000","86,000","62,000",,7/12/2015,67,50,58
1/30/2015,2015-1,"170,000","6,000","54,800,000","110,000","81,500",,7/19/2015,55,40,49
1/31/2015,2015-1,"140,000","5,000","19,600,000","78,000","55,600",,,,,
2/1/2015,2015-2,"170,000","4,000","16,100,000","91,000","56,600",,,,,
2/2/2015,2015-2,"190,000","6,000","17,800,000","97,000","63,400",,,,,
2/3/2015,2015-2,"340,000","12,000","63,700,000","150,000","96,000",,,,,
2/4/2015,2015-2,"250,000","12,000","50,000,000","230,000","122,000",,,,,
2/5/2015,2015-2,"240,000","9,000","131,400,000","450,000","250,000",,,,,
2/6/2015,2015-2,"230,000","9,000","163,400,000","520,000","254,000",,,,,
2/7/2015,2015-2,"200,000","6,000","69,600,000","410,000","178,000",,,,,
2/8/2015,2015-2,"200,000","6,000","81,400,000","440,000","207,000",,,,,
2/9/2015,2015-2,"250,000","9,000","83,000,000","370,000","191,000",,,,,
2/10/2015,2015-2,"240,000","9,000","58,100,000","360,000","169,000",,,,,
2/11/2015,2015-2,"240,000","9,000","50,700,000","310,000","155,000",,,,,
2/12/2015,2015-2,"240,000","8,000","75,200,000","440,000","188,000",,,,,
2/13/2015,2015-2,"240,000","9,000","197,000,000","640,000","271,000",,,,,
2/14/2015,2015-2,"180,000","5,000","60,100,000","460,000","191,000",,,,,
2/15/2015,2015-2,"200,000","5,000","52,200,000","420,000","178,000",,,,,
2/16/2015,2015-2,"250,000","8,000","39,200,000","300,000","138,000",,,,,
2/17/2015,2015-2,"260,000","8,000","66,100,000","440,000","177,000",,,,,
2/18/2015,2015-2,"240,000","9,000","146,700,000","540,000","241,000",,,,,
2/19/2015,2015-2,"240,000","8,000","94,300,000","470,000","205,000",,,,,
2/20/2015,2015-2,"210,000","7,000","73,200,000","440,000","188,000",,,,,
2/21/2015,2015-2,"180,000","6,000","71,800,000","430,000","178,000",,,,,
2/22/2015,2015-2,"200,000","6,000","72,400,000","410,000","171,000",,,,,
2/23/2015,2015-2,"260,000","9,000","63,700,000","410,000","176,000",,,,,
2/24/2015,2015-2,"260,000","10,000","57,400,000","400,000","192,000",,,,,
2/25/2015,2015-2,"240,000","8,000","66,700,000","390,000","197,000",,,,,
2/26/2015,2015-2,"210,000","8,000","116,000,000","390,000","204,000",,,,,
2/27/2015,2015-2,"190,000","8,000","185,900,000","480,000","276,000",,,,,
2/28/2015,2015-2,"160,000","5,000","50,000,000","290,000","191,000",,,,,
3/1/2015,2015-3,"180,000","6,000","56,800,000","340,000","206,000",,,,,
3/2/2015,2015-3,"220,000","8,000","53,500,000","340,000","222,000",,,,,
3/3/2015,2015-3,"220,000","8,000","57,700,000","370,000","232,000",,,,,
3/4/2015,2015-3,"200,000","7,000","53,100,000","340,000","220,000",,,,,
3/5/2015,2015-3,"200,000","7,000","43,700,000","280,000","179,000",,,,,
3/6/2015,2015-3,"180,000","6,000","45,600,000","300,000","188,000",,,,,
3/7/2015,2015-3,"140,000","5,000","58,800,000","410,000","225,000",,,,,
3/8/2015,2015-3,"150,000","5,000","51,600,000","370,000","212,000",,,,,
3/9/2015,2015-3,"230,000","12,000","181,100,000","510,000","327,000",,,,,
3/10/2015,2015-3,"240,000","11,000","51,600,000","310,000","193,000",,,,,
3/11/2015,2015-3,"210,000","8,000","52,700,000","320,000","188,000",,,,,
3/12/2015,2015-3,"190,000","8,000","50,300,000","280,000","169,000",,,,,
3/13/2015,2015-3,"160,000","7,000","64,600,000","320,000","179,000",,,,,
3/14/2015,2015-3,"130,000","4,000","67,000,000","350,000","191,000",,,,,
3/15/2015,2015-3,"140,000","5,000","62,000,000","310,000","176,000",,,,,
3/16/2015,2015-3,"200,000","8,000","132,200,000","300,000","194,000",,,,,
3/17/2015,2015-3,"190,000","9,000","51,900,000","270,000","164,000",,,,,
3/18/2015,2015-3,"200,000","9,000","74,200,000","370,000","205,000",,,,,
3/19/2015,2015-3,"200,000","9,000","121,300,000","430,000","239,000",,,,,
3/20/2015,2015-3,"170,000","7,000","80,900,000","430,000","220,000",,,,,
3/21/2015,2015-3,"130,000","5,000","87,200,000","560,000","257,000",,,,,
3/22/2015,2015-3,"160,000","5,000","108,300,000","630,000","269,000",,,,,
3/23/2015,2015-3,"300,000","9,000","101,200,000","590,000","305,000",,,,,
3/24/2015,2015-3,"510,000","11,000","120,600,000","460,000","256,000",,,,,
3/25/2015,2015-3,"1,270,000","14,000","199,100,000","580,000","307,000",,,,,
3/26/2015,2015-3,"1,630,000","13,000","95,500,000","490,000","257,000",,,,,
3/27/2015,2015-3,"2,230,000","14,000","111,500,000","530,000","282,000",,,,,
3/28/2015,2015-3,"1,990,000","12,000","146,700,000","580,000","288,000",,,,,
3/29/2015,2015-3,"1,940,000","13,000","130,500,000","540,000","274,000",,,,,
3/30/2015,2015-3,"3,340,000","19,000","87,600,000","450,000","256,000",,,,,
3/31/2015,2015-3,"3,310,000","19,000","58,100,000","230,000","154,000",,,,,
4/1/2015,2015-4,"1,300,000","11,000","29,400,000","170,000","110,000",,,,,
4/2/2015,2015-4,"190,000","6,000","25,900,000","170,000","96,200",,,,,
4/3/2015,2015-4,"150,000","5,000","16,800,000","160,000","85,400",,,,,
4/4/2015,2015-4,"130,000","4,000","17,500,000","170,000","83,900",,,,,
4/5/2015,2015-4,"130,000","4,000","17,800,000","170,000","78,700",,,,,
4/6/2015,2015-4,"190,000","6,000","17,200,000","160,000","80,400",,,,,
4/7/2015,2015-4,"200,000","7,000","19,500,000","190,000","88,100",,,,,
4/8/2015,2015-4,"210,000","7,000","20,300,000","180,000","87,400",,,,,
4/9/2015,2015-4,"200,000","7,000","23,100,000","190,000","91,100",,,,,
4/10/2015,2015-4,"210,000","6,000","20,500,000","180,000","82,700",,,,,
4/11/2015,2015-4,"170,000","4,000","23,500,000","210,000","91,000",,,,,
4/12/2015,2015-4,"190,000","5,000","20,900,000","200,000","85,200",,,,,
4/13/2015,2015-4,"240,000","7,000","19,500,000","160,000","75,100",,,,,
4/14/2015,2015-4,"220,000","7,000","39,100,000","270,000","118,000",,,,,
4/15/2015,2015-4,"210,000","7,000","35,700,000","210,000","99,800",,,,,
4/16/2015,2015-4,"200,000","7,000","42,400,000","200,000","96,200",,,,,
4/17/2015,2015-4,"170,000","6,000","42,500,000","170,000","93,900",,,,,
4/18/2015,2015-4,"150,000","4,000","48,300,000","220,000","112,000",,,,,
4/19/2015,2015-4,"170,000","5,000","57,900,000","260,000","129,000",,,,,
4/20/2015,2015-4,"200,000","7,000","54,200,000","270,000","134,000",,,,,
4/21/2015,2015-4,"220,000","7,000","49,000,000","250,000","125,000",,,,,
4/22/2015,2015-4,"210,000","6,000","47,800,000","240,000","121,000",,,,,
4/23/2015,2015-4,"220,000","7,000","46,300,000","240,000","119,000",,,,,
4/24/2015,2015-4,"210,000","7,000","44,700,000","260,000","117,000",,,,,
4/25/2015,2015-4,"190,000","4,000","48,100,000","260,000","121,000",,,,,
4/26/2015,2015-4,"200,000","5,000","46,600,000","240,000","111,000",,,,,
4/27/2015,2015-4,"240,000","7,000","31,300,000","170,000","93,100",,,,,
4/28/2015,2015-4,"250,000","7,000","21,200,000","100,000","67,000",,,,,
4/29/2015,2015-4,"250,000","7,000","23,000,000","83,000","61,200",,,,,
4/30/2015,2015-4,"250,000","7,000","18,800,000","67,000","51,000",,,,,
5/1/2015,2015-5,"260,000","6,000","58,700,000","170,000","95,900",,,,,
5/2/2015,2015-5,"190,000","4,000","31,200,000","140,000","74,100",,,,,
5/3/2015,2015-5,"200,000","4,000","38,400,000","180,000","87,100",,,,,
5/4/2015,2015-5,"250,000","7,000","35,800,000","180,000","91,500",,,,,
5/5/2015,2015-5,"250,000","7,000","32,100,000","170,000","78,900",,,,,
5/6/2015,2015-5,"240,000","6,000","28,100,000","130,000","70,000",,,,,
5/7/2015,2015-5,"250,000","6,000","31,400,000","140,000","77,400",,,,,
5/8/2015,2015-5,"220,000","6,000","33,300,000","170,000","85,900",,,,,
5/9/2015,2015-5,"170,000","4,000","34,500,000","160,000","84,400",,,,,
5/10/2015,2015-5,"170,000","4,000","36,300,000","170,000","81,700",,,,,
5/11/2015,2015-5,"240,000","7,000","31,800,000","150,000","79,600",,,,,
5/12/2015,2015-5,"250,000","8,000","28,800,000","160,000","84,500",,,,,
5/13/2015,2015-5,"250,000","7,000","39,000,000","180,000","92,400",,,,,
5/14/2015,2015-5,"250,000","9,000","243,600,000","330,000","183,000",,,,,
5/15/2015,2015-5,"290,000","6,000","28,500,000","170,000","92,300",,,,,
5/16/2015,2015-5,"160,000","4,000","29,900,000","180,000","91,100",,,,,
5/17/2015,2015-5,"180,000","4,000","26,800,000","190,000","89,600",,,,,
5/18/2015,2015-5,"650,000","9,000","22,800,000","160,000","83,800",,,,,
5/19/2015,2015-5,"630,000","10,000","65,100,000","190,000","97,300",,,,,
5/20/2015,2015-5,"2,010,000","15,000","29,800,000","180,000","96,000",,,,,
5/21/2015,2015-5,"1,330,000","13,000","33,500,000","200,000","103,000",,,,,
5/22/2015,2015-5,"2,080,000","17,000","36,200,000","220,000","120,000",,,,,
5/23/2015,2015-5,"1,850,000","16,000","40,200,000","260,000","133,000",,,,,
5/24/2015,2015-5,"2,000,000","17,000","45,700,000","300,000","151,000",,,,,
5/25/2015,2015-5,"2,040,000","18,000","47,900,000","320,000","154,000",,,,,
5/26/2015,2015-5,"2,470,000","24,000","87,100,000","320,000","175,000",,,,,
5/27/2015,2015-5,"2,340,000","22,000","81,400,000","420,000","227,000",,,,,
5/28/2015,2015-5,"2,410,000","19,000","49,400,000","310,000","174,000",,,,,
5/29/2015,2015-5,"2,550,000","18,000","134,500,000","400,000","216,000",,,,,
5/30/2015,2015-5,"2,230,000","17,000","48,800,000","370,000","201,000",,,,,
5/31/2015,2015-5,"2,450,000","18,000","48,300,000","320,000","178,000",,,,,
6/1/2015,2015-6,"2,780,000","22,000","46,800,000","210,000","129,000",,,,,
6/2/2015,2015-6,"3,120,000","22,000","57,500,000","240,000","133,000",,,,,
6/3/2015,2015-6,"1,790,000","13,000","101,100,000","280,000","142,000",,,,,
6/4/2015,2015-6,"1,580,000","12,000","56,500,000","240,000","126,000",,,,,
6/5/2015,2015-6,"1,610,000","12,000","51,800,000","240,000","124,000",,,,,
6/6/2015,2015-6,"1,270,000","10,000","57,200,000","270,000","136,000",,,,,
6/7/2015,2015-6,"1,360,000","11,000","64,900,000","310,000","147,000",,,,,
6/8/2015,2015-6,"1,470,000","13,000","58,000,000","270,000","142,000",,,,,
6/9/2015,2015-6,"1,520,000","14,000","44,200,000","240,000","129,000",,,,,
6/10/2015,2015-6,"1,530,000","15,000","40,900,000","230,000","123,000",,,,,
6/11/2015,2015-6,"1,080,000","12,000","78,600,000","240,000","126,000",,,,,
6/12/2015,2015-6,"1,010,000","11,000","50,700,000","300,000","162,000",,,,,
6/13/2015,2015-6,"1,050,000","11,000","47,100,000","290,000","144,000",,,,,
6/14/2015,2015-6,"1,170,000","12,000","53,200,000","320,000","151,000",,,,,
6/15/2015,2015-6,"1,340,000","14,000","43,000,000","270,000","140,000",,,,,
6/16/2015,2015-6,"1,360,000","13,000","42,900,000","270,000","138,000",,,,,
6/17/2015,2015-6,"1,420,000","12,000","42,000,000","250,000","130,000",,,,,
6/18/2015,2015-6,"1,260,000","12,000","43,600,000","250,000","134,000",,,,,
6/19/2015,2015-6,"1,170,000","11,000","42,000,000","260,000","140,000",,,,,
6/20/2015,2015-6,"1,290,000","10,000","46,000,000","280,000","146,000",,,,,
6/21/2015,2015-6,"1,240,000","11,000","47,600,000","300,000","154,000",,,,,
6/22/2015,2015-6,"1,290,000","12,000","50,300,000","280,000","146,000",,,,,
6/23/2015,2015-6,"1,380,000","12,000","40,300,000","240,000","134,000",,,,,
6/24/2015,2015-6,"1,170,000","11,000","41,500,000","230,000","128,000",,,,,
6/25/2015,2015-6,"1,110,000","11,000","33,800,000","180,000","105,000",,,,,
6/26/2015,2015-6,"1,020,000","10,000","36,400,000","210,000","115,000",,,,,
6/27/2015,2015-6,"980,000","10,000","95,000,000","330,000","182,000",,,,,
6/28/2015,2015-6,"900,000","10,000","95,700,000","330,000","186,000",,,,,
6/29/2015,2015-6,"1,090,000","13,000","41,500,000","250,000","148,000",,,,,
6/30/2015,2015-6,"1,110,000","13,000","38,800,000","230,000","130,000",,,,,
